from_node,to_node,voltage_kv,ac_dc,circuits,capacity_mw,length_km,status,commission_year,as_of,line_name_cn,notes,source
Shaanxi,Shandong,1000,AC,1,6500,,in_service,2017,01.01.26,榆横—潍坊1000千伏特高压交流输变电工程,,inter_provincial_lines_202509.xlsx::2025-09已建成
HEBEI_NORTH,HEBEI_SOUTH,1000,AC,1,6500,,operating,2020,16.01.26,张北—雄安1000千伏特高压交流输变电工程,2020-08-29通过72小时试运行正式投运,SASAC 2020-09-01 / Xiong'an gov 2020-07-23
Hubei,Hubei,1000,AC,1,6500,,operating,2022,16.01.26,荆门—武汉1000千伏特高压交流输变电工程,2022年投产送电（华中“日”字形环网组成部分）,Hubei DRC/FGW 2022-12-26 / Wuhan gov 2022-10-21
Henan,Henan,1000,AC,1,6500,,operating,2020,16.01.26,驻马店—南阳1000千伏交流特高压输变电工程,2020-12-20南阳站三期扩建工程投运（配套项目）,Dahe 2020-12-20 / Henan People's Daily 2020-06-08
Yunnan,Guangdong,800,DC,1,12000,,in_service,2018,01.01.26,新东直流（滇西北—广东±1100kV）,NEA表6,NEA Table 6 (2024 DC UHV utilization; published 2025-11-13)
Gansu,Hunan,800,DC,1,8000,2383,in_service,2017,01.01.26,祁韶直流（祁门—韶关±800kV）,NEA表7,inter_provincial_lines_202509.xlsx::2025-09已建成
Guizhou,Guangdong,800,DC,1,3000,1277,in_service,2004,01.01.26,禄高肇直流 （高肇段）,NEA表8,inter_provincial_lines_202509.xlsx::2025-09已建成
Sichuan,Shanghai,800,DC,1,6400,1907,in_service,2010,01.01.26,向家坝-上海±800千伏特高压直流输电示范工程,nan；又称复奉直流（复龙—奉贤）。,https://www.cpem.org.cn/list99/57653.html; https://www.news.cn/energy/20250521/b4254c6a7d724167a363902edc79e19c/c.html
Yunnan,Guangdong,800,DC,1,5000,1374,in_service,2010,01.01.26,楚穗直流（云南—广东±800kV）,NEA表6,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf; https://www.sasac.gov.cn/n2588025/n2588139/c33945911/content.html
Sichuan,Jiangsu,800,DC,1,7200,2058,in_service,2012,01.01.26,锦屏—苏南±800千伏特高压直流输电工程,,https://www.nea.gov.cn/20220125/7a1b11a1004b4d0ea4e4c5cb3c88bbbe/c.html
Sichuan,Zhejiang,800,DC,1,8000,1653,in_service,2014,01.01.26,溪洛渡左岸—浙江金华±800千伏特高压直流输电工程,nan；常见简称：宾金/溪浙直流。,https://www.zj.news.cn/20240514/539f3f6225624163a437d3cbe38bb82f/c.html
Xinjiang,Henan,800,DC,1,8000,2210,in_service,2014,01.01.26,哈密南—郑州±800千伏特高压直流输电工程,,https://www.sgcc.com.cn/html/sgcc_main/col2018/2022-04/07/20220407193100291209567_1.html
Yunnan,Guangdong,800,DC,1,5000,1412,in_service,2015,01.01.26,云南普洱-广东江门±800千伏直流输电工程,,inter_provincial_lines_202509.xlsx::2025-09已建成
Ningxia,Zhejiang,800,DC,1,8000,1720,in_service,2016,01.01.26,灵州-绍兴±800千伏特高压直流输电工程,,inter_provincial_lines_202509.xlsx::2025-09已建成
Gansu,Hunan,800,DC,1,8000,2383,in_service,2017,01.01.26,祁韶直流（酒泉—韶山±800千伏特高压直流输电工程）,送端：甘肃酒泉（祁连）换流站；受端：湖南韶山换流站。,https://finance.sina.com.cn/stock/stockzmt/20250714/doc-infchzqz4307777.shtml; https://paper.people.com.cn/zgnyb/pc/content/202507/14/content_30102851.html
NM_EAST,Shandong,800,DC,1,10000,1233.8,in_service,2017,01.01.26,扎鲁特—山东青州±800千伏特高压直流输电工程,,https://inews.nmgnews.com.cn/system/2016/08/22/012107918.shtml; https://www.sasac.gov.cn/n2588025/n2588124/c15269423/content.html
NM_WEST,Jiangsu,800,DC,1,10000,1620,in_service,2017,01.01.26,锡盟—泰州±800千伏特高压直流输电工程,,https://paper.people.com.cn/zgnyb/html/2017-10/16/content_1811175.htm
