region_grid,province,Zone,node,Resource,technology,cluster,R_ID,COAL,GAS,NUCLEAR,HYDRO,ONWIND,OFFWIND,SOLAR,PUMPED,BATTERY,OTHER,Commit,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,Cap_Size,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,status,start_year,retired_year,gen_id
NortheastChina,Heilongjiang,HL,Heilongjiang,Datang Shuangyashan power station Unit 2,conventional_steam_coal,1,G100000102168,1,0,0,0,0,0,0,0,0,0,1,200.0,1,200.0,200.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2006.0,,432
NorthwestChina,Shaanxi,SN,Shaanxi,Datang Weihe power station Unit 3,conventional_steam_coal,1,G100000102196,1,0,0,0,0,0,0,0,0,0,1,300.0,1,300.0,300.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2009.0,,433
NorthwestChina,Shaanxi,SN,Shaanxi,Datang Weihe power station Unit 4,conventional_steam_coal,1,G100000102197,1,0,0,0,0,0,0,0,0,0,1,300.0,1,300.0,300.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2009.0,,434
Neimenggu,Inner Mongolia,NM_E,NM_EAST,Datang Xilinhot power station Unit 1,ultra_supercritical_coal,1,G100000102207,1,0,0,0,0,0,0,0,0,0,1,660.0,1,660.0,660.0,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2019.0,,435
Neimenggu,Inner Mongolia,NM_E,NM_EAST,Datang Xilinhot power station Unit 2,ultra_supercritical_coal,1,G100000102208,1,0,0,0,0,0,0,0,0,0,1,660.0,1,660.0,660.0,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2020.0,,436
EastChina,Jiangxi,JX,Jiangxi,Datang Xinyu power station Phase II Unit 1,ultra_supercritical_coal,1,G100000111200,1,0,0,0,0,0,0,0,0,0,1,1000.0,1,1000.0,1000.0,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2024.0,,437
EastChina,Jiangxi,JX,Jiangxi,Datang Xinyu power station Phase II Unit 2,ultra_supercritical_coal,1,G100000111201,1,0,0,0,0,0,0,0,0,0,1,1000.0,1,1000.0,1000.0,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2024.0,,438
NorthwestChina,Shaanxi,SN,Shaanxi,Datang Yan'an power station Phase I Unit 1,ultra_supercritical_coal,1,G100000104569,1,0,0,0,0,0,0,0,0,0,1,660.0,1,660.0,660.0,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2023.0,,439
NorthwestChina,Shaanxi,SN,Shaanxi,Datang Yan'an power station Phase I Unit 2,ultra_supercritical_coal,1,G100000104570,1,0,0,0,0,0,0,0,0,0,1,660.0,1,660.0,660.0,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2024.0,,440
MiddleChina,Hunan,HN,Hunan,Datang Zhuzhou-2 power station Unit 1,supercritical_coal,1,G100000102234,1,0,0,0,0,0,0,0,0,0,1,630.0,1,630.0,630.0,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2016.0,,441
MiddleChina,Hunan,HN,Hunan,Datang Zhuzhou-2 power station Unit 2,supercritical_coal,1,G100000102235,1,0,0,0,0,0,0,0,0,0,1,630.0,1,630.0,630.0,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2016.0,,442
NorthChina,Shanxi,SX,Shanxi,Datong power station Phase 1 Unit 6,conventional_steam_coal,1,G100000102240,1,0,0,0,0,0,0,0,0,0,1,135.0,1,135.0,135.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2010.0,,443
NorthChina,Shanxi,SX,Shanxi,Datong power station Phase 1 Unit 7,conventional_steam_coal,1,G100000102241,1,0,0,0,0,0,0,0,0,0,1,135.0,1,135.0,135.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2011.0,,444
NorthChina,Shanxi,SX,Shanxi,Datong-2 power station Phase II Unit 7,conventional_steam_coal,1,G100000102249,1,0,0,0,0,0,0,0,0,0,1,600.0,1,600.0,600.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2005.0,,445
NorthChina,Shanxi,SX,Shanxi,Datong-2 power station Phase II Unit 8,conventional_steam_coal,1,G100000102250,1,0,0,0,0,0,0,0,0,0,1,600.0,1,600.0,600.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2005.0,,446
NorthChina,Shanxi,SX,Shanxi,Datong-2 power station Phase III Unit 10,supercritical_coal,1,G100000102243,1,0,0,0,0,0,0,0,0,0,1,660.0,1,660.0,660.0,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2009.0,,447
NorthChina,Shanxi,SX,Shanxi,Datong-2 power station Phase III Unit 9,supercritical_coal,1,G100000102251,1,0,0,0,0,0,0,0,0,0,1,660.0,1,660.0,660.0,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2009.0,,448
NorthChina,Shanxi,SX,Shanxi,Datong-2 power station Unit 4,conventional_steam_coal,1,G100000102246,1,0,0,0,0,0,0,0,0,0,1,200.0,1,200.0,200.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1986.0,,449
