,datetime,Beijing,Tianjin,HEBEI_SOUTH,Shanxi,Shandong,HEBEI_NORTH,NM_EAST,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Henan,Hubei,Hunan,Chongqing,Sichuan,Guangdong,Guangxi,Hainan,Guizhou,Yunnan,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang,NM_WEST,Tibet,Hongkong,Macao,Taiwan
35,2025-01-02 11:00:00+00:00,0.600474308,0.650513834,0.600474308,0.600474308,0.600474308,0.600474308,0.600474308,0.600474308,0.600474308,0.600474308,0.500395257,0.500395257,0.500395257,0.500395257,0.500395257,0.500395257,0.500395257,0.500395257,0.400316206,0.450355731,0.500395257,0.500395257,0.500395257,0.500395257,0.500395257,0.650513834,0.650513834,0.650513834,0.650513834,0.650513834,0.650513834,0.650513834,0.70055336,0,0,0
36,2025-01-02 12:00:00+00:00,0.617549407,0.669011858,0.617549407,0.617549407,0.617549407,0.617549407,0.617549407,0.617549407,0.617549407,0.617549407,0.514624506,0.514624506,0.514624506,0.514624506,0.514624506,0.514624506,0.514624506,0.514624506,0.411699605,0.463162055,0.514624506,0.514624506,0.514624506,0.514624506,0.514624506,0.669011858,0.669011858,0.669011858,0.669011858,0.669011858,0.669011858,0.669011858,0.720474308,0,0,0
37,2025-01-02 13:00:00+00:00,0.578656126,0.62687747,0.578656126,0.578656126,0.578656126,0.578656126,0.578656126,0.578656126,0.578656126,0.578656126,0.482213439,0.482213439,0.482213439,0.482213439,0.482213439,0.482213439,0.482213439,0.482213439,0.385770751,0.433992095,0.482213439,0.482213439,0.482213439,0.482213439,0.482213439,0.62687747,0.62687747,0.62687747,0.62687747,0.62687747,0.62687747,0.62687747,0.675098814,0,0,0
38,2025-01-02 14:00:00+00:00,0.480948617,0.521027668,0.480948617,0.480948617,0.480948617,0.480948617,0.480948617,0.480948617,0.480948617,0.480948617,0.400790514,0.400790514,0.400790514,0.400790514,0.400790514,0.400790514,0.400790514,0.400790514,0.320632411,0.360711462,0.400790514,0.400790514,0.400790514,0.400790514,0.400790514,0.521027668,0.521027668,0.521027668,0.521027668,0.521027668,0.521027668,0.521027668,0.561106719,0,0,0
39,2025-01-02 15:00:00+00:00,0.317786561,0.344268775,0.317786561,0.317786561,0.317786561,0.317786561,0.317786561,0.317786561,0.317786561,0.317786561,0.264822134,0.264822134,0.264822134,0.264822134,0.264822134,0.264822134,0.264822134,0.264822134,0.211857708,0.238339921,0.264822134,0.264822134,0.264822134,0.264822134,0.264822134,0.344268775,0.344268775,0.344268775,0.344268775,0.344268775,0.344268775,0.344268775,0.370750988,0,0,0
40,2025-01-02 16:00:00+00:00,0.106245059,0.115098814,0.106245059,0.106245059,0.106245059,0.106245059,0.106245059,0.106245059,0.106245059,0.106245059,0.088537549,0.088537549,0.088537549,0.088537549,0.088537549,0.088537549,0.088537549,0.088537549,0.07083004,0.079683794,0.088537549,0.088537549,0.088537549,0.088537549,0.088537549,0.115098814,0.115098814,0.115098814,0.115098814,0.115098814,0.115098814,0.115098814,0.123952569,0,0,0
41,2025-01-02 17:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2025-01-02 18:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2025-01-02 19:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2025-01-02 20:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2025-01-02 21:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2025-01-02 22:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2025-01-02 23:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2025-01-03 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2025-01-03 01:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2025-01-03 02:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2025-01-03 03:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2025-01-03 04:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2025-01-03 05:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2025-01-03 06:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2025-01-03 07:00:00+00:00,0,0.001027668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001027668,0.001027668,0.001027668,0.001027668,0.001027668,0.001027668,0.001027668,0.001106719,0,0,0
56,2025-01-03 08:00:00+00:00,0.09770751,0.105849802,0.09770751,0.09770751,0.09770751,0.09770751,0.09770751,0.09770751,0.09770751,0.09770751,0.081422925,0.081422925,0.081422925,0.081422925,0.081422925,0.081422925,0.081422925,0.081422925,0.06513834,0.073280632,0.081422925,0.081422925,0.081422925,0.081422925,0.081422925,0.105849802,0.105849802,0.105849802,0.105849802,0.105849802,0.105849802,0.105849802,0.113992095,0,0,0
57,2025-01-03 09:00:00+00:00,0.258972332,0.28055336,0.258972332,0.258972332,0.258972332,0.258972332,0.258972332,0.258972332,0.258972332,0.258972332,0.215810277,0.215810277,0.215810277,0.215810277,0.215810277,0.215810277,0.215810277,0.215810277,0.172648221,0.194229249,0.215810277,0.215810277,0.215810277,0.215810277,0.215810277,0.28055336,0.28055336,0.28055336,0.28055336,0.28055336,0.28055336,0.28055336,0.302134387,0,0,0
58,2025-01-03 10:00:00+00:00,0.391778656,0.424426877,0.391778656,0.391778656,0.391778656,0.391778656,0.391778656,0.391778656,0.391778656,0.391778656,0.326482213,0.326482213,0.326482213,0.326482213,0.326482213,0.326482213,0.326482213,0.326482213,0.261185771,0.293833992,0.326482213,0.326482213,0.326482213,0.326482213,0.326482213,0.424426877,0.424426877,0.424426877,0.424426877,0.424426877,0.424426877,0.424426877,0.457075099,0,0,0
