region_grid,province,Zone,node,Resource,technology,cluster,R_ID,COAL,GAS,NUCLEAR,HYDRO,ONWIND,OFFWIND,SOLAR,PUMPED,BATTERY,OTHER,Commit,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,Cap_Size,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,status,start_year,retired_year
NorthChina,Shandong,SD,Shandong,Heze power station Phase III Unit 5,conventional_steam_coal,1,G100000103877,1,0,,,,,,,,0,1,330,1,330,330,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2006,
NorthChina,Shandong,SD,Shandong,Heze power station Phase III Unit 6,conventional_steam_coal,1,G100000103878,1,0,,,,,,,,0,1,330,1,330,330,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2006,
NorthChina,Shandong,SD,Shandong,Heze Zhaolou power station Unit 1,conventional_steam_coal,1,G100000103879,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2014,
SouthernGrid,Guangxi,GX,Guangxi,Hezhou power station Phase I Unit 1,ultra_supercritical_coal,1,G100000103881,1,0,,,,,,,,0,1,1045,1,1045,1045,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2012,
SouthernGrid,Guangxi,GX,Guangxi,Hezhou power station Phase I Unit 2,ultra_supercritical_coal,1,G100000103882,1,0,,,,,,,,0,1,1045,1,1045,1045,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2012,
NorthChina,Shanxi,SX,Shanxi,High River power station Unit 1,ultra_supercritical_coal,1,G100000103885,1,0,,,,,,,,0,1,660,1,660,660,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2021,
NorthChina,Shanxi,SX,Shanxi,High River power station Unit 2,ultra_supercritical_coal,1,G100000103886,1,0,,,,,,,,0,1,660,1,660,660,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2021,
Neimenggu,Inner Mongolia,NM_W,Inner Mongolia_NM_WEST,Hohhot Aluminum power station Unit 5,conventional_steam_coal,1,G100000102190,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2007,
Neimenggu,Inner Mongolia,NM_W,Inner Mongolia_NM_WEST,Hohhot Aluminum power station Unit 6,conventional_steam_coal,1,G100000102191,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2007,
Neimenggu,Inner Mongolia,NM_W,Inner Mongolia_NM_WEST,Hohhot Jinqiao power station Phase I Unit 1,conventional_steam_coal,1,G100000103915,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2007,
Neimenggu,Inner Mongolia,NM_W,Inner Mongolia_NM_WEST,Hohhot Jinqiao power station Phase I Unit 2,conventional_steam_coal,1,G100000103916,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2007,
Neimenggu,Inner Mongolia,NM_W,Inner Mongolia_NM_WEST,Hohhot Jinshan cogen power station Unit 1,conventional_steam_coal,1,G100000103919,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2010,
Neimenggu,Inner Mongolia,NM_W,Inner Mongolia_NM_WEST,Hohhot Jinshan cogen power station Unit 2,conventional_steam_coal,1,G100000103920,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2010,
Neimenggu,Inner Mongolia,NM_W,Inner Mongolia_NM_WEST,Hohhot Jinshan cogen power station Unit 3,ultra_supercritical_coal,1,G100000114529,1,0,,,,,,,,0,1,660,1,660,660,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2022,
Neimenggu,Inner Mongolia,NM_W,Inner Mongolia_NM_WEST,Hohhot Jinshan cogen power station Unit 4,ultra_supercritical_coal,1,G100000114530,1,0,,,,,,,,0,1,660,1,660,660,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2023,
Neimenggu,Inner Mongolia,NM_W,Inner Mongolia_NM_WEST,Hohhot power station Phase II Unit 1,conventional_steam_coal,1,G100000104384,1,0,,,,,,,,0,1,200,1,200,200,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2000,
Neimenggu,Inner Mongolia,NM_W,Inner Mongolia_NM_WEST,Hohhot power station Phase II Unit 2,conventional_steam_coal,1,G100000104385,1,0,,,,,,,,0,1,200,1,200,200,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2000,
Neimenggu,Inner Mongolia,NM_W,Inner Mongolia_NM_WEST,Hohhot power station Phase II Unit 3,supercritical_coal,1,G100000104386,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2010,
Neimenggu,Inner Mongolia,NM_W,Inner Mongolia_NM_WEST,Hohhot power station Phase II Unit 4,supercritical_coal,1,G100000104387,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2010,
NorthwestChina,Shaanxi,SN,Shaanxi,Hongdunjie power station Unit 1,ultra_supercritical_coal,1,G100000113036,1,0,,,,,,,,0,1,660,1,660,660,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2024,
NorthwestChina,Shaanxi,SN,Shaanxi,Hongdunjie power station Unit 2,ultra_supercritical_coal,1,G100000113037,1,0,,,,,,,,0,1,660,1,660,660,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2024,
